Name,Age,Gender,12_percentage,10_percentage,CGPA,Parents_Annual_Income,Is_Car,Is_Loan_Free,Is_Passport,Is_Masters
Prisha Yadav,25,F,51.5,75.02,7.91,8637764.042211115,Y,Y,Y,Y
Kian Reddy,29,M,84.26,87.12,7.67,2138023.5712440824,N,Y,N,N
Yash,25,M,40.94,75.88,6.26,69619329.97809607,N,N,N,Y
Saanvi,25,F,70.64,77.8,6.28,3806450.197247104,Y,N,N,Y
Rudra Pandey,22,M,86.02,76.99,8.88,2532673.9125130223,N,Y,N,Y
Mishka Yadav,24,F,52.03,90.52,9.23,8467872.953097101,Y,Y,Y,Y
Anaisha Das,24,F,92.31,92.18,6.38,1579603.5066814984,N,N,Y,N
Aryan Joshi,29,M,73.73,45.97,6.61,1255551.8669093165,N,N,Y,N
Avni Yadav,23,F,86.57,61.12,6.28,1260976.3833604902,Y,Y,Y,N
Dhruv Nair,26,M,48.22,73.75,6.74,4294963.17989023,N,N,Y,Y
Kabir Patel,28,M,78.96,97.97,5.73,201348.5112784813,N,Y,N,N
Rudra,22,M,67.61,41.72,9.66,3295508.1631420967,N,N,N,Y
Sara,22,F,42.85,75.88,9.42,38231264.4592343,Y,N,Y,Y
Krishna Sharma,28,M,82.17,66.99,6.62,1323147.237695454,Y,Y,N,N
Trisha Thakur,22,F,65.87,84.99,8.43,3422891.130994849,Y,N,N,Y
Advik Mishra,29,M,94.55,90.05,8.19,9719845.282894025,Y,N,N,N
Saumya Yadav,26,F,55.7,86.5,6.24,7045187.8326328,N,Y,Y,Y
Veer Sharma,25,M,78.92,91.9,6.76,737436.1029236597,N,N,N,N
Yash Verma,28,M,44.04,55.0,7.44,9502688.946991323,N,N,N,Y
Anaya,22,F,81.53,95.87,7.83,8504920.517621504,Y,N,Y,Y
Kabir Thakur,26,M,80.17,78.85,6.92,1527440.0272590534,Y,Y,Y,N
Ayaan Mishra,27,M,86.28,78.24,9.45,1576792.7767055833,N,Y,N,N
Riddhi Bose,23,F,82.14,93.73,5.56,3141889.9261518116,N,Y,Y,N
Siya Goswami,28,F,94.05,83.86,8.79,977884.9999176033,Y,N,N,N
Aanya Yadav,27,F,68.29,56.93,7.02,543784.5528925217,N,N,Y,N
Riya Malhotra,21,F,80.19,56.65,8.18,7529445.202267086,Y,N,N,Y
Sahana,29,F,64.82,78.58,9.13,1650343.2460671,N,Y,N,N
Ayaan Pandey,26,M,99.3,73.03,7.88,239399.7286080833,Y,Y,Y,N
Rudra Verma,22,M,49.73,97.56,8.06,1710729.6022139404,Y,Y,N,N
Shaurya Choudhury,28,M,49.25,41.89,9.69,1981782.4611042547,N,N,N,N
Shaurya Khan,28,M,75.33,42.58,7.67,757098.2494556665,N,N,N,N
Tara,29,F,78.64,70.83,5.73,5428457.483903896,Y,N,Y,Y
Prisha Kumar,24,F,97.78,97.38,9.72,1698095.3092100837,Y,N,Y,N
Navya Pandey,27,F,89.59,60.92,7.35,5207600.873106266,Y,Y,Y,Y
Anaisha Pathak,28,F,69.47,58.68,9.81,7089099.331486282,Y,N,N,Y
Prisha Agarwal,30,F,81.02,96.79,6.65,3094043.604725087,N,Y,Y,Y
Ritvik Singh,28,M,51.35,67.79,7.05,1093220.0836177953,N,N,N,N
Trisha Bose,25,F,63.81,93.18,6.4,5158843.561499847,Y,Y,Y,N
Reyansh,30,M,85.85,86.05,7.24,5233997.691892119,N,Y,Y,N
Anika,22,F,54.64,46.95,9.82,7520477.533824526,N,Y,Y,Y
Aaradhya Mishra,21,F,78.97,51.2,5.63,411594.11334450776,N,N,N,N
Rudra Pathak,27,M,76.47,57.65,8.58,4740067.422590714,N,Y,Y,Y
Aanya Thakur,25,F,92.65,78.86,7.15,7243013.269866655,Y,Y,Y,N
Dhruv Malhotra,26,M,97.81,83.15,7.0,957662.3248504811,N,Y,N,N
Aarohi Srivastava,21,F,65.91,67.64,7.65,1502990.116496965,Y,Y,N,N
Advik,29,M,46.44,59.91,8.25,46669275.286186665,Y,Y,Y,N
Chirag,28,M,42.85,87.29,9.3,6929777.942855029,N,Y,Y,N
Veer,25,M,70.52,76.01,6.46,1599841.9642576806,N,N,N,N
Ira,26,F,94.3,69.94,9.86,8733043.91306857,Y,Y,N,N
Prisha Mishra,27,F,74.62,70.03,5.95,8391862.969775569,Y,Y,Y,Y
Vanya Bhatia,26,F,51.96,94.6,5.74,479164.7542736377,Y,Y,Y,N
Aarya Khan,29,F,88.6,65.7,7.23,533253.3795637512,N,Y,N,N
Aanya Choudhury,25,F,44.5,68.4,6.04,2639345.7988366513,Y,Y,N,Y
Mishka Khan,30,F,69.71,96.17,8.63,1179789.3320187302,Y,N,Y,N
Kabir Gupta,27,M,48.81,50.85,7.4,771921.9180921568,Y,Y,Y,N
Ishaan,25,M,81.39,85.34,7.11,985849.8144383501,N,N,N,N
Ira Malhotra,23,F,87.35,89.37,8.94,7001782.1868309155,N,Y,Y,Y
Anaisha Das,21,F,42.77,87.95,8.42,7580410.230998865,Y,N,N,Y
Aarya Reddy,30,F,61.79,57.4,9.27,635328.3914191828,N,Y,N,N
Riddhi Sethi,30,F,74.33,60.69,9.44,1435021.4957423403,Y,N,Y,N
Shanaya Das,30,F,60.19,74.06,9.33,895821.2558719146,N,N,Y,N
Anaya Reddy,27,F,99.07,97.56,5.69,1609960.7690451727,Y,N,Y,N
Pihu Goswami,23,F,83.67,84.11,9.08,9701495.950987715,Y,Y,Y,Y
Ira Goswami,29,F,43.09,82.7,9.53,1538987.7643696577,Y,Y,Y,N
Yash Joshi,29,M,53.61,88.51,5.81,6616844.919838422,Y,Y,Y,N
Aryan Malhotra,21,M,75.68,51.1,8.0,6397538.9425928,Y,N,Y,Y
Veer Pandey,30,M,84.23,72.28,5.92,6390049.082358875,N,N,N,Y
Ishika Khan,23,F,54.15,86.94,6.58,309429.7207418589,N,Y,Y,N
Prisha,23,F,63.71,52.54,6.52,5767011.856253306,N,Y,Y,Y
Riddhi,22,F,74.16,76.66,6.82,2175066.556427762,N,N,N,Y
Yash Rao,21,M,54.02,84.1,6.86,3948367.320932009,Y,Y,N,N
Anay Reddy,30,M,95.24,87.81,6.31,6466785.498417834,Y,Y,Y,Y
Vivaan,25,M,43.31,85.58,7.49,4856662.470481927,Y,N,Y,Y
Ishaan Reddy,21,M,93.54,72.7,8.07,593531.2542489411,Y,Y,Y,N
Arjun Chopra,28,M,84.38,62.62,8.82,5874994.793243107,Y,N,Y,Y
Sara Malhotra,26,F,99.29,85.5,7.92,2762942.3286090773,N,Y,N,Y
Aaradhya Goswami,26,F,87.0,67.55,8.92,642858.206996291,Y,N,Y,N
Riya Singh,21,F,55.52,71.07,9.65,839846.4811434144,N,N,Y,N
Sai Agarwal,30,M,66.7,63.9,8.5,635229.718218097,Y,Y,Y,N
Aadi Sethi,23,M,43.5,78.15,5.97,1004863.9073649755,N,N,Y,N
Shanaya Singh,26,F,97.04,44.49,8.14,2854565.9042827995,Y,N,N,Y
Sahana Bose,22,F,90.12,70.58,7.66,9619235.521482056,N,N,N,Y
Anika,22,F,67.93,49.21,9.85,1269720.1748047424,N,N,Y,N
Aarya Pandey,22,F,70.57,53.21,7.86,5519856.31601162,N,N,N,Y
Ahaan,24,M,53.62,60.35,9.57,9197839.594927188,Y,Y,N,N
Ansh Gupta,29,M,92.81,82.34,8.15,1069368.30812019,N,N,Y,Y
Reyansh,26,M,90.47,92.29,9.49,760168.1482329373,N,Y,Y,N
Yash Goswami,22,M,54.35,85.55,8.58,6169236.001821542,N,N,Y,N
Ira Goswami,25,F,92.79,83.8,6.4,8786130.464029852,Y,N,Y,N
Aryan Das,28,M,60.74,80.77,7.36,3648339.668723717,N,Y,Y,Y
Arjun Pandey,24,M,77.3,77.09,8.14,8603111.259941556,N,Y,Y,Y
Shanaya Bose,21,F,77.94,73.58,9.78,773993.2328523003,N,Y,N,N
Chirag Shah,29,M,62.12,74.46,7.2,1304605.5242635084,N,N,Y,N
Yash Sharma,23,M,46.43,71.9,9.72,6190766.14418536,N,N,N,Y
Arjun Verma,24,M,86.9,63.74,7.19,87760963.69440898,Y,N,Y,N
Ritvik Das,29,M,66.12,63.97,8.19,77624784.02848579,N,Y,Y,Y
Trisha,27,F,88.54,44.38,8.69,3982904.3477978683,Y,Y,Y,N
Aanya Gupta,22,F,44.41,88.59,6.92,4943829.954548151,Y,Y,Y,N
Riddhi Bhatia,22,F,99.07,58.76,6.71,1474766.896316112,Y,Y,N,N
Krishna Sharma,26,M,70.58,86.89,6.04,2247855.62274113,Y,N,Y,N
Aadhya Kumar,23,F,96.61,49.2,7.72,6891995.886660676,N,N,N,Y
Chirag Sharma,25,M,43.28,50.15,7.46,1160699.0287762792,Y,N,Y,Y
Anaisha Pathak,21,F,90.92,83.37,5.83,5244607.852222613,Y,N,N,Y
Sai Pathak,25,M,47.44,49.22,9.21,9599245.361720324,N,Y,Y,N
Avni Sethi,30,F,76.39,42.71,8.31,4592734.721937314,N,N,N,Y
Siya Sharma,23,F,75.06,82.41,7.44,6973486.977721512,N,N,Y,Y
Aarush,23,M,64.16,54.73,9.08,5590735.053458218,Y,Y,N,Y
Shaurya Yadav,28,M,61.27,57.1,7.69,329486.424718993,N,N,Y,Y
Sahana,21,F,92.87,60.74,7.76,4333165.015208514,N,N,N,Y
Anika,29,F,48.11,71.36,7.5,613706.1714085378,Y,N,Y,N
Vivaan Khan,24,M,40.87,57.77,7.15,1504310.3044486712,N,Y,N,N
Saumya,30,F,79.41,70.03,6.32,2718974.165053438,N,N,N,Y
Ritvik Gupta,28,M,74.51,71.89,8.24,613511.3444413384,Y,N,Y,N
Ishika Thakur,22,F,96.42,60.24,9.21,8362238.57419226,N,N,N,Y
Anay Gupta,28,M,99.37,67.89,9.24,626376.5354740075,Y,Y,Y,N
Advik Srivastava,22,M,61.24,83.23,7.9,358393.3661279893,N,Y,N,N
Saanvi Pandey,22,F,88.95,89.87,5.57,88456697.82847276,N,Y,N,Y
Anay Kumar,28,M,74.49,62.85,9.49,2528378.6263213395,Y,Y,N,Y
Abeer Joshi,27,M,54.46,57.97,9.53,3128720.2347263475,N,Y,N,Y
Abeer Desai,21,M,48.68,79.72,8.33,615766.7655090987,N,N,Y,N
Trisha Chopra,30,F,50.21,74.31,6.06,867439.5650910214,Y,Y,Y,N
Veer Nair,29,M,73.38,54.59,9.76,1438698.8728655463,Y,N,Y,N
Mohammed Khan,28,M,70.86,74.91,9.82,416129.8340969865,Y,Y,N,N
Veer Patel,23,M,82.82,56.84,7.51,298662.8711682407,N,N,Y,N
Aryan Pathak,22,M,44.38,78.25,8.9,9881582.791504003,Y,Y,N,N
Dev Yadav,22,M,45.31,72.75,9.27,1797548.255872747,N,Y,N,N
Aarya,28,F,45.22,79.16,6.92,542627.1821507947,N,N,N,N
Vihaan Sharma,22,M,73.13,74.17,8.31,7399063.870754928,Y,Y,N,N
Ansh Chopra,30,M,49.96,68.59,7.23,6192705.707994849,Y,Y,N,Y
Shanaya Sethi,28,F,80.21,52.75,8.37,702828.5107024198,N,N,N,N
Diya Pathak,22,F,53.03,85.49,6.58,75868204.48289615,N,Y,Y,Y
Krishna Patel,28,M,55.79,52.0,7.81,1512445.2588474567,N,Y,Y,N
Atharva Yadav,22,M,59.49,95.7,8.2,4042653.637465717,N,Y,N,N
Rudra Desai,25,M,86.82,66.69,5.85,5805589.876337139,N,N,Y,Y
Reyansh Choudhury,21,M,78.38,57.52,6.53,1699114.7574180427,N,N,N,N
Ira Goswami,25,F,86.51,49.27,7.91,1655200.786748286,N,N,N,N
Aarya Srivastava,23,F,41.08,67.47,6.65,9970194.96392195,Y,N,Y,Y
Kiara Reddy,23,F,94.75,83.67,8.68,3029197.9606419136,N,Y,N,N
Ritvik Roy,28,M,56.49,89.55,7.31,62967576.31820797,Y,Y,N,Y
Aarya Srivastava,23,F,95.86,87.42,5.73,992495.4603659507,N,N,N,N
Riya Nair,28,F,59.49,93.91,7.61,1795132.6858686747,N,N,N,N
Riya,25,F,80.19,94.89,8.49,8886359.386714768,N,N,N,Y
Ritvik Singh,28,M,89.59,77.09,8.62,4763021.618827894,N,Y,Y,N
Aanya Pandey,28,F,51.2,82.83,6.05,4522882.22879511,N,Y,Y,Y
Vivaan,21,M,63.18,85.25,7.14,8414494.054471655,N,N,Y,Y
Saanvi Choudhury,25,F,55.18,56.19,9.69,2679526.12461273,Y,N,Y,Y
Vivaan Mishra,29,M,80.15,49.99,5.72,1536866.6471221487,Y,N,Y,N
Rudra,21,M,86.39,56.55,9.15,7968253.750819166,Y,N,N,Y
Chirag Reddy,22,M,88.98,87.68,7.21,759871.3877955342,N,N,Y,N
Aarohi Shah,23,F,65.59,88.7,5.87,1861321.0660113308,Y,N,Y,N
Anika Thakur,28,F,73.34,87.36,9.77,1944069.4106455047,Y,N,Y,N
Sahana Kumar,26,F,59.71,82.23,7.78,1909734.0990760645,Y,Y,N,Y
Rudra Kumar,28,M,67.4,64.7,6.14,1661861.726644692,N,N,Y,N
Aarohi Sharma,28,F,95.01,58.36,8.03,716574.0955608315,N,Y,N,N
Sara Reddy,24,F,84.89,80.4,8.29,3826488.8283759407,N,N,N,Y
Sara,30,F,68.43,99.38,8.26,1493802.84638752,Y,N,Y,N
Mishka Pandey,26,F,68.36,47.53,9.28,8800645.781742265,Y,Y,Y,N
Dhruv Choudhury,27,M,60.56,55.79,8.72,9115296.024168506,N,N,N,Y
Siya Bose,22,F,82.43,83.81,5.96,9564918.893640261,N,Y,Y,N
Advik Rao,24,M,54.12,62.04,5.65,1058578.99158479,Y,N,N,N
Arjun Thakur,23,M,52.08,82.71,9.34,8102682.874811695,N,N,Y,Y
Aarush,21,M,81.56,76.75,8.13,1226178.3551263285,Y,N,Y,N
Ira Chauhan,23,F,50.38,77.18,8.15,421504.8468873302,Y,Y,Y,N
Abeer Reddy,23,M,97.78,56.28,6.67,7980247.349908318,Y,Y,N,N
Navya Mishra,24,F,91.86,96.17,7.44,8008591.541465724,N,N,Y,Y
Avni Yadav,26,F,87.72,55.88,8.17,9521523.800831527,N,Y,Y,Y
Vihaan Sharma,28,M,85.24,55.33,9.53,4246791.131256778,N,N,Y,Y
Aadi Agarwal,21,M,75.35,54.53,9.85,8968274.700132407,N,Y,N,Y
Kian,23,M,73.32,43.53,9.72,1614417.2536263957,N,Y,N,Y
Dev Singh,29,M,84.0,91.23,6.57,2335481.798679499,N,Y,N,Y
Riddhi Shah,30,F,73.94,42.46,9.21,1707106.458434663,Y,Y,Y,N
Avni Sethi,26,F,51.7,80.54,6.5,6279686.123857774,N,Y,Y,Y
Advik Bhatia,27,M,90.47,40.28,6.02,5380538.673995408,Y,Y,Y,N
Rudra Bhatia,23,M,89.24,96.84,6.86,1672945.1378918411,Y,Y,N,N
Ira Sharma,30,F,50.95,59.92,8.18,923442.3122432117,N,N,Y,N
Mohammed Das,25,M,54.9,96.98,6.11,2581898.460569682,Y,Y,Y,Y
Rudra Agarwal,27,M,88.08,81.77,7.7,1112081.799203332,N,N,N,N
Kabir Bhatia,30,M,56.76,42.36,5.71,965367.810319797,N,Y,N,N
Saanvi Patel,30,F,63.73,78.56,9.17,1330419.493860549,N,Y,N,N
Veer Malhotra,22,M,40.15,56.06,9.25,3144117.9278434073,N,Y,N,Y
Anaisha,29,F,90.65,88.66,9.74,6993488.763929045,N,N,N,Y
Riya Goswami,24,F,55.82,52.85,6.24,9201679.456880992,N,Y,Y,Y
Anika Desai,29,F,60.44,76.65,9.83,876424.9697622781,Y,N,Y,N
Sai Patel,28,M,92.68,94.94,6.49,6206848.622314013,N,Y,Y,N
Pihu Reddy,24,F,50.41,51.46,7.76,5264084.09946966,Y,Y,Y,Y
Arjun Yadav,29,M,58.47,44.39,5.66,9833290.441265147,Y,Y,Y,Y
Pranav Roy,27,M,58.05,56.92,7.97,6473917.711676216,N,Y,N,Y
Ansh Chauhan,24,M,54.0,74.61,6.93,2212197.0530184456,Y,Y,Y,Y
Aarohi Roy,24,F,71.35,83.19,9.52,658250.550356016,N,N,N,N
Ishika Reddy,25,F,95.24,57.44,5.57,7836445.628535151,Y,Y,N,Y
Diya,24,F,84.31,85.19,9.58,6517437.748816024,Y,Y,N,Y
Abeer Mishra,22,M,49.96,41.74,8.97,7386412.150867258,N,Y,Y,N
Arjun,21,M,80.61,99.39,7.67,3785248.336292573,Y,N,Y,Y
Ira,26,F,60.44,56.23,5.98,1423039.7138349814,Y,Y,N,N
Atharva Malhotra,30,M,91.03,99.42,9.77,9029735.396615949,N,N,Y,N
Riya Reddy,23,F,52.84,68.01,8.7,7620381.2870815145,Y,N,Y,Y
Dhruv Nair,28,M,96.98,72.47,5.83,5384145.89239239,N,Y,N,Y
Siya,28,F,71.38,94.96,8.94,6307996.851591294,N,Y,N,Y
Aadhya Patel,23,F,49.66,94.73,9.0,3430115.603363763,N,Y,Y,N
Sahana Das,27,F,67.76,52.86,7.2,2745945.840377858,N,Y,Y,Y
Ayaan Bhatia,25,M,67.38,56.03,5.81,6541390.794721032,Y,N,N,Y
Atharva Pandey,27,M,51.43,86.95,6.25,5191718.418558727,Y,Y,N,Y
Sahana Nair,30,F,77.88,40.65,9.5,1252082.1972747024,Y,Y,N,N
Ahaan Choudhury,28,M,62.76,48.76,8.72,6694211.880972704,N,Y,N,Y
Reyansh Bose,26,M,51.18,80.72,7.78,1281094.4197787503,N,N,N,N
Arjun Patel,25,M,61.41,61.9,7.56,303937.4002332393,N,N,Y,N
Ahaan,24,M,77.71,92.68,7.83,8360475.29413373,Y,Y,Y,Y
Ira Bhatia,27,F,65.22,61.26,7.23,1995172.0985871258,Y,Y,Y,N
Veer Reddy,26,M,78.82,83.83,6.57,1566874.1546553886,Y,N,N,N
Ira Singh,24,F,70.61,43.92,6.09,1087233.2623173774,Y,N,N,N
Vani,26,F,94.64,58.63,8.86,1921014.1907902348,Y,N,N,N
Myra,25,F,95.99,89.46,8.63,6570156.302538881,N,Y,N,Y
Riya Bhatia,29,F,73.6,83.49,6.96,3365778.1609028718,N,Y,Y,Y
Ayaan,26,M,67.1,59.12,6.8,9446013.166085038,Y,Y,N,Y
Ritvik Sethi,29,M,69.97,41.54,9.63,1566794.408835501,Y,Y,N,N
Ayaan Bose,24,M,52.28,90.44,7.91,568424.0488069447,N,Y,N,N
Pranav Sharma,23,M,74.89,41.27,6.09,6736080.136873769,N,Y,N,Y
Vanya,30,F,79.02,92.03,8.3,4966434.79746013,Y,Y,Y,Y
Anay Gupta,26,M,46.72,67.49,8.5,8201785.833556826,N,Y,Y,N
Siya Choudhury,30,F,70.9,88.61,8.95,980638.6639551236,N,Y,N,N
Abeer Singh,26,M,83.85,96.75,7.36,8278499.6290356675,Y,N,N,Y
Aarya Roy,22,F,64.65,74.62,9.34,2509702.520574563,Y,N,N,Y
Dev,21,M,62.91,59.09,6.83,4320160.6122268615,Y,Y,N,Y
Ishaan Agarwal,21,M,59.91,65.04,9.01,1852259.6541871098,N,Y,Y,Y
Anaisha Mishra,26,F,80.52,62.19,9.74,45424249.714263715,Y,Y,Y,Y
Atharva,24,M,64.26,42.32,5.56,47674147.88118488,Y,Y,Y,N
Anay Choudhury,29,M,55.37,50.05,6.16,9013555.240059894,Y,N,Y,Y
Ira Joshi,27,F,41.46,47.32,8.98,69938224.07698536,N,N,Y,Y
Shanaya Yadav,27,F,44.02,74.72,8.54,753737.8482309192,N,Y,N,N
Kiara Goswami,29,F,69.74,67.2,8.34,754784.6157324002,N,N,N,N
Anaisha Gupta,21,F,41.95,76.79,9.32,9127421.152826069,Y,N,Y,Y
Kabir Patel,30,M,81.12,48.29,7.93,7302610.526931131,N,Y,Y,N
Chirag,22,M,63.62,91.64,7.67,8570273.29751482,N,Y,Y,Y
Avni Das,24,F,87.45,55.98,6.42,457939.247550873,Y,Y,Y,N
Chirag Sharma,28,M,42.77,77.4,7.13,2718329.931492309,N,Y,N,Y
Kiara Choudhury,21,F,76.72,72.44,9.19,2915238.5741604245,Y,N,Y,Y
Kiara Choudhury,26,F,68.8,64.0,8.87,1396774.0582754903,Y,Y,N,N
Aarya Joshi,21,F,67.04,58.48,8.75,8002734.810615317,Y,N,N,Y
Kian Patel,25,M,65.7,40.02,7.36,360655.47325657913,Y,N,Y,N
Shaurya,30,M,96.22,48.91,9.49,7914505.128891664,Y,N,Y,Y
Ayaan Sharma,26,M,42.36,41.55,7.83,1259596.9269734514,Y,Y,Y,N
Aadhya Khan,30,F,71.94,65.61,7.63,225385.50351450138,Y,N,N,N
Ansh Singh,29,M,88.71,97.84,9.17,9147903.37425069,Y,Y,Y,Y
Tara Pandey,29,F,57.04,73.34,6.8,1882366.8031882928,Y,N,N,N
Reyansh Thakur,22,M,72.0,42.02,6.66,1465113.0627973552,N,Y,N,N
Saumya Thakur,26,F,41.36,88.25,9.33,13539540.312189633,Y,Y,N,N
Aadhya Bose,27,F,98.64,73.72,7.05,823588.8227741718,N,Y,N,N
Ritvik Shah,23,M,79.68,40.17,9.38,1982845.3079182052,Y,Y,Y,N
Ritvik Chopra,22,M,55.03,60.66,8.72,964189.7517890326,N,Y,Y,Y
Ayaan Yadav,26,M,95.19,41.22,5.56,9652124.073862137,N,Y,Y,N
Anika Chauhan,25,F,64.31,53.0,6.73,359486.26960118767,N,Y,N,N
Sai Khan,22,M,99.32,98.92,9.3,4941385.985193731,N,Y,Y,Y
Vivaan Thakur,29,M,58.26,83.42,7.96,1311080.8930681052,N,Y,Y,Y
Atharva Roy,27,M,82.89,94.17,6.43,8604695.856578313,N,Y,Y,N
Vivaan Goswami,22,M,57.13,76.14,5.62,280623.8442400759,N,Y,N,Y
Pranav Pandey,21,M,84.11,42.03,5.62,915374.7008979344,Y,N,Y,N
Sai Nair,22,M,61.3,98.17,9.54,76632018.03710267,N,Y,N,N
Vanya Rao,28,F,50.96,56.87,5.88,8778347.726119474,N,N,Y,Y
Atharva,28,M,41.03,57.09,5.7,6797073.2191317715,Y,Y,Y,Y
Sara Sethi,24,F,97.62,60.98,7.13,4859700.362931583,Y,Y,Y,Y
Anay Chauhan,29,M,84.94,78.25,9.78,896433.7375219448,Y,Y,N,Y
Anika,23,F,56.18,87.92,9.39,4553530.918144609,Y,N,N,Y
Anika Srivastava,27,F,58.75,43.75,7.1,512354.62523613166,N,Y,N,N
Aanya Pathak,24,F,70.47,53.19,8.81,2493065.617192667,N,N,Y,Y
Aanya,23,F,58.46,49.79,7.83,1066483.0018965034,N,N,N,N
Sahana Khan,29,F,88.31,48.74,9.76,1123210.2596776858,N,N,Y,N
Aadi Rao,29,M,72.41,65.63,7.02,1697861.1929280225,Y,N,Y,N
Anika Kumar,27,F,94.09,71.59,9.28,9481332.00440129,Y,Y,Y,N
Myra Sharma,22,F,76.35,78.43,9.0,5964235.127823933,Y,N,Y,Y
Aaradhya Joshi,25,F,70.73,70.7,6.6,616171.3376073285,N,N,N,N
Navya Rao,29,F,42.22,98.65,5.82,7479364.717531906,Y,N,N,Y
Ira Chauhan,21,F,58.17,99.29,7.51,756290.5195554838,Y,N,Y,N
Shaurya Verma,29,M,69.24,75.64,8.14,1711531.4187071514,N,Y,Y,N
Trisha Yadav,27,F,77.41,68.44,7.81,1375217.0929817255,N,N,N,N
Sara Joshi,26,F,71.2,42.92,5.8,226820.30330003306,N,Y,Y,N
Dev Verma,29,M,76.69,57.39,9.46,1691965.772622395,Y,N,N,Y
Krishna Pathak,23,M,50.34,40.25,7.29,9875781.865522835,Y,Y,Y,N
Vihaan Roy,24,M,91.96,78.64,9.36,1871028.7064485098,Y,Y,N,N
Anika Chauhan,21,F,65.65,42.64,7.09,2997123.4387454866,Y,N,N,Y
Vanya Khan,30,F,69.54,65.61,9.42,1665609.6981473467,N,N,N,N
Riddhi Patel,22,F,98.52,84.33,7.1,6293555.360157079,Y,N,Y,N
Krishna Gupta,30,M,42.37,70.13,9.71,5583877.746003123,N,N,N,Y
Kiara,29,F,70.88,80.44,6.39,8979720.649994,N,N,N,Y
Aarya Singh,29,F,48.04,81.96,9.74,510599.2546924938,Y,N,N,N
Ira,21,F,62.44,99.39,8.4,8737608.847984895,Y,Y,Y,Y
Sara Chauhan,23,F,94.63,48.0,9.22,6561808.953988235,N,Y,Y,Y
Tara Khan,26,F,59.18,61.19,8.19,424682.3940486894,N,N,Y,N
Anay Roy,28,M,54.11,74.52,9.83,4535337.568781114,Y,Y,N,Y
Kabir Verma,25,M,98.42,40.58,6.92,8195112.538845569,Y,N,Y,N
Yash Chopra,21,M,92.6,61.88,6.0,9452614.167736439,Y,Y,N,Y
Navya Das,30,F,63.42,41.87,7.43,1938356.2204488295,N,N,Y,Y
Aanya Yadav,24,F,71.88,76.06,7.85,3986726.627913262,Y,Y,N,Y
Tara Pathak,27,F,78.89,45.39,8.43,1668115.6479228034,Y,N,Y,N
Pranav Sethi,30,M,76.62,47.64,9.6,355360.7538781536,Y,N,N,N
Shaurya Rao,25,M,69.27,79.53,8.18,99681686.51105364,Y,N,Y,N
Ishika Mishra,25,F,55.34,84.86,6.15,9207664.682632029,N,N,N,Y
Yash,21,M,48.56,72.24,6.35,9912325.347019821,N,Y,N,Y
Ishika Khan,27,F,62.99,71.89,7.69,3562115.072549359,N,Y,N,Y
Reyansh Roy,23,M,64.33,57.08,6.67,279578.2137691237,N,Y,Y,N
Tara,30,F,61.67,48.26,7.26,5505389.8051667875,Y,N,N,Y
Chirag Nair,25,M,81.61,66.91,9.25,3231208.596332619,Y,N,Y,Y
Trisha Sethi,24,F,75.99,82.93,8.69,444091.6518962864,Y,N,N,N
Saumya Rao,25,F,55.24,73.14,9.48,6413955.212597584,Y,Y,Y,Y
Aarohi,23,F,63.56,90.11,8.05,5604657.939907736,N,Y,Y,N
Veer Gupta,23,M,58.85,44.92,8.9,531833.4407196717,Y,Y,Y,N
Avni Das,29,F,56.88,93.68,9.75,830909.0916044952,N,Y,Y,N
Riya Chopra,28,F,89.66,48.37,7.51,281951.2898939778,N,N,N,N
Abeer Pathak,25,M,88.6,63.27,9.2,603005.1685278174,N,N,Y,N
Navya Agarwal,22,F,82.36,98.95,9.43,4380896.954794192,Y,N,N,N
Kiara Desai,24,F,93.71,52.1,8.47,4729675.522921772,N,Y,Y,Y
Anika Khan,30,F,72.09,49.43,8.06,5833450.930443196,N,N,N,Y
Aanya Das,25,F,86.12,46.65,7.86,1433513.202491809,N,Y,Y,N
Ishika,25,F,93.56,63.79,6.47,629146.7595225205,Y,N,Y,N
Vanya Mishra,26,F,68.25,84.4,9.51,367243.6736988529,Y,Y,Y,Y
Ritvik Roy,21,M,81.2,91.3,8.2,9489098.178155098,Y,N,N,Y
Anaisha Sharma,27,F,90.48,51.29,8.34,6224610.8324718345,Y,Y,Y,Y
Mohammed Khan,25,M,76.37,86.66,9.73,1632864.7350934509,N,Y,N,Y
Shanaya Joshi,21,F,78.59,57.19,5.93,691229.5509573836,N,N,Y,N
Ishika Singh,27,F,96.81,45.78,9.6,28173382.96666727,Y,Y,Y,Y
Anaisha Kumar,21,F,48.33,98.96,9.78,1542082.4336253256,N,Y,N,Y
Aanya Pandey,30,F,72.28,40.84,8.17,580736.601698509,Y,Y,N,N
Ayaan Pathak,24,M,46.61,82.88,6.51,6804074.22329105,Y,Y,Y,Y
Kian Joshi,28,M,91.55,49.04,7.1,2689644.5868337736,N,N,Y,Y
Advik Desai,25,M,89.16,82.52,9.16,1091502.2372009498,N,N,Y,N
Chirag Yadav,27,M,57.95,72.43,6.43,544058.5576880039,N,Y,N,N
Riya Bose,26,F,67.26,90.01,8.48,745013.8554551308,N,N,Y,N
Krishna Pandey,24,M,56.46,94.93,7.35,4221970.119482317,Y,N,N,Y
Saumya Verma,22,F,80.68,43.24,6.21,2154697.597780483,Y,Y,Y,N
Mohammed Kumar,30,M,56.52,78.5,9.16,3518546.4552811095,Y,N,N,Y
